"division","year","active_population","of_which_non_wage_earners","of_which_wage_earners","total_employed_population","unemployed","unemployment_rate_in_percent"
"Beaufort","2001",688,85,568,653,35,5.09
"Beaufort","2002",742,85,631,716,26,3.5
"Beaufort","2003",773,85,648,733,40,5.17
"Beaufort","2004",828,80,706,786,42,5.07
"Beaufort","2005",866,96,719,815,51,5.89
"Beaufort","2006",893,87,746,833,60,6.72
"Beaufort","2007",907,90,778,868,39,4.3
"Beaufort","2008",974,85,820,905,69,7.08
"Beaufort","2009",998,84,829,913,85,8.52
"Beaufort","2010",1.069,86,898,984,85,7.95
"Beaufort","2011",1.098,83,920,1.003,95,8.65
"Beaufort","2012",1.126,83,932,1.015,111,9.86
"Beaufort","2013",1.145,84,932,1.016,129,11.27
"Beaufort","2014",1.172,80,953,1.033,139,11.86
"Beaufort","2015",1.241,80,1.03,1.11,131,10.56
"Bech","2001",400,66,327,393,7,1.75
"Bech","2002",405,65,335,400,5,1.23
"Bech","2003",389,61,324,385,4,1.03
"Bech","2004",389,56,326,382,7,1.8
"Bech","2005",403,56,339,395,8,1.99
"Bech","2006",403,61,330,391,12,2.98
"Bech","2007",414,60,349,409,5,1.21
"Bech","2008",436,66,359,425,11,2.52
"Bech","2009",465,64,384,448,17,3.66
"Bech","2010",492,62,405,467,25,5.08
"Bech","2011",518,59,441,500,18,3.47
"Bech","2012",516,57,446,503,13,2.52
"Bech","2013",542,63,463,526,16,2.95
"Bech","2014",558,67,476,543,15,2.69
"Bech","2015",534,70,450,520,14,2.62
"Beckerich","2001",819,99,709,808,11,1.34
"Beckerich","2002",803,94,697,791,12,1.49
"Beckerich","2003",815,103,694,797,18,2.21
"Beckerich","2004",843,100,721,821,22,2.61
"Beckerich","2005",832,94,704,798,34,4.09
"Beckerich","2006",872,97,734,831,41,4.7
"Beckerich","2007",888,102,760,862,26,2.93
"Beckerich","2008",934,103,794,897,37,3.96
"Beckerich","2009",960,99,828,927,33,3.44
